Name	Color_index	R	G	B
0	0	1.00000	0.00000	0.00000
1	1	0.00000	0.00000	0.94118
2	2	0.00000	0.93725	0.00000
3	3	0.00000	0.74902	0.93725
4	4	0.43529	0.00000	0.31373
5	5	0.37647	0.37255	0.00000
6	6	0.25098	0.94118	0.68627
7	7	0.12157	0.43529	0.93725
8	8	0.93725	0.87843	0.00000
9	9	0.93725	0.68627	0.68627
10	10	0.94118	0.12157	0.87843
11	11	0.00000	0.18431	0.24706
12	12	0.50196	0.05882	0.00000
13	13	0.93725	0.56471	0.18824
14	14	0.93725	0.94118	0.62745
15	15	0.93725	0.00000	0.43529
16	16	0.00000	0.56078	0.00000
17	17	0.87451	0.56471	0.94118
18	18	0.00000	0.00000	0.43529
19	19	0.12549	0.49804	0.37255
20	20	0.49804	0.50196	0.69020
21	21	0.69020	0.94118	0.87843
22	22	0.25098	0.12157	0.06275
23	23	0.69020	0.93725	0.37255
24	24	0.50196	0.18824	0.81176
25	25	0.94118	0.43529	0.37647
26	26	0.12549	0.18431	0.43529
27	27	0.49804	0.43922	0.37647
28	28	0.81176	0.37255	0.56471
29	29	0.18431	0.94118	0.43529
30	30	0.50196	0.68627	0.37647
31	31	0.74902	0.00000	0.56471
32	32	0.62745	0.62353	0.00000
33	33	0.81176	0.81569	0.94118
34	34	0.62745	0.37255	0.18431
35	35	0.50196	0.25098	0.62353
36	36	0.18431	0.50196	0.56078
37	37	0.06275	0.37255	0.05882
38	38	0.12549	0.24706	0.12157
39	39	0.81176	0.00000	0.18824
40	40	0.49804	0.25098	0.31373
41	41	0.62353	0.06275	0.25098
42	42	0.87451	0.68627	0.43922
43	43	0.00000	0.75294	0.75294
44	44	0.18431	0.06275	0.18431
45	45	0.00000	0.56471	0.87843
46	46	0.87451	0.31373	0.06275
47	47	0.75294	0.74902	0.62353
48	48	0.56471	0.56078	0.94118
49	49	0.94118	0.75294	0.24706
