R	G	B	Color_hex	Name
127	255	0	#7fff00	0
255	0	255	#ff00ff	1
153	76	0	#994c00	2
101	178	255	#65b2ff	3
0	115	0	#007300	4
255	170	0	#ffaa00	5
255	152	152	#ff9898	6
0	255	255	#00ffff	7
0	153	153	#009999	8
153	153	0	#999900	9
101	101	255	#6565ff	10
255	204	255	#ffccff	11
176	40	84	#b02854	12
255	244	188	#fff4bc	13
0	180	96	#00b460	14
255	20	24	#ff1418	15
108	96	0	#6c6000	16
112	88	132	#705884	17
180	136	100	#b48864	18
0	104	136	#006888	19
160	140	188	#a08cbc	20
168	255	200	#a8ffc8	21
255	60	140	#ff3c8c	22
0	108	88	#006c58	23
255	200	164	#ffc8a4	24
252	255	0	#fcff00	25
164	32	204	#a420cc	26
255	116	0	#ff7400	27
168	188	136	#a8bc88	28
180	108	108	#b46c6c	29
112	132	84	#708454	30
8	196	228	#08c4e4	31
188	196	252	#bcc4fc	32
116	196	176	#74c4b0	33
16	128	220	#1080dc	34
172	52	40	#ac3428	35
236	136	204	#ec88cc	36
180	92	160	#b45ca0	37
164	120	0	#a47800	38
224	196	64	#e0c440	39
116	188	0	#74bc00	40
68	92	156	#445c9c	41
140	148	255	#8c94ff	42
36	148	184	#2494b8	43
200	132	255	#c884ff	44
48	144	108	#30906c	45
196	100	56	#c46438	46
196	172	120	#c4ac78	47
200	224	108	#c8e06c	48
0	236	120	#00ec78	49
68	148	4	#449404	50
232	40	80	#e82850	51
136	104	64	#886840	52
255	120	88	#ff7858	53
112	124	180	#707cb4	54
88	48	255	#5830ff	55
152	104	204	#9868cc	56
168	36	132	#a82484	57
148	88	112	#945870	58
108	124	0	#6c7c00	59
152	136	84	#988854	60
212	132	20	#d48414	61
148	92	72	#945c48	62
204	136	156	#cc889c	63
88	100	52	#586434	64
0	236	196	#00ecc4	65
144	236	255	#90ecff	66
255	184	204	#ffb8cc	67
255	164	92	#ffa45c	68
108	76	176	#6c4cb0	69
200	156	36	#c89c24	70
0	120	124	#00787c	71
255	208	132	#ffd084	72
220	156	132	#dc9c84	73
116	168	128	#74a880	74
124	208	148	#7cd094	75
208	172	244	#d0acf4	76
132	160	76	#84a04c	77
252	100	108	#fc646c	78
224	255	184	#e0ffb8	79
216	24	128	#d81880	80
180	104	16	#b46810	81
60	120	72	#3c7848	82
188	60	255	#bc3cff	83
216	16	192	#d810c0	84
172	255	240	#acfff0	85
180	192	0	#b4c000	86
0	176	140	#00b08c	87
240	80	188	#f050bc	88
140	212	255	#8cd4ff	89
0	208	208	#00d0d0	90
192	100	132	#c06484	91
200	56	0	#c83800	92
164	255	144	#a4ff90	93
212	204	132	#d4cc84	94
12	80	228	#0c50e4	95
144	112	156	#90709c	96
148	76	80	#944c50	97
200	84	72	#c85448	98
255	120	152	#ff7898	99
252	236	124	#fcec7c	100
0	216	4	#00d804	101
128	88	0	#805800	102
255	116	255	#ff74ff	103
140	212	104	#8cd468	104
192	120	200	#c078c8	105
0	148	68	#009444	106
144	80	160	#9050a0	107
0	104	172	#0068ac	108
120	112	64	#787040	109
244	80	0	#f45000	110
24	176	232	#18b0e8	111
204	120	100	#cc7864	112
220	136	84	#dc8854	113
108	148	196	#6c94c4	114
255	164	255	#ffa4ff	115
220	168	208	#dca8d0	116
136	120	0	#887800	117
152	120	255	#9878ff	118
204	252	44	#ccfc2c	119
224	168	92	#e0a85c	120
0	176	12	#00b00c	121
176	172	92	#b0ac5c	122
52	108	224	#346ce0	123
184	224	176	#b8e0b0	124
0	152	228	#0098e4	125
76	176	184	#4cb0b8	126
156	160	212	#9ca0d4	127
255	184	168	#ffb8a8	128
136	76	232	#884ce8	129
180	124	164	#b47ca4	130
120	104	168	#7868a8	131
84	120	44	#54782c	132
0	128	152	#008098	133
4	124	172	#047cac	134
208	140	136	#d08c88	135
152	220	0	#98dc00	136
192	40	64	#c02840	137
164	108	68	#a46c44	138
160	188	88	#a0bc58	139
192	76	100	#c04c64	140
180	140	72	#b48c48	141
148	180	255	#94b4ff	142
116	180	100	#74b464	143
60	255	180	#3cffb4	144
252	192	0	#fcc000	145
228	112	164	#e470a4	146
255	224	0	#ffe000	147
0	132	116	#008474	148
216	168	128	#d8a880	149
152	224	192	#98e0c0	150
92	128	255	#5c80ff	151
136	140	60	#888c3c	152
216	32	32	#d82020	153
100	152	88	#649858	154
12	204	152	#0ccc98	155
136	76	124	#884c7c	156
36	180	168	#24b4a8	157
216	108	124	#d86c7c	158
164	140	36	#a48c24	159
255	152	192	#ff98c0	160
188	168	0	#bca800	161
164	140	224	#a48ce0	162
156	72	36	#9c4824	163
96	100	196	#6064c4	164
255	152	108	#ff986c	165
192	88	208	#c058d0	166
216	100	0	#d86400	167
220	220	48	#dcdc30	168
152	156	104	#989c68	169
136	224	220	#88e0dc	170
132	84	48	#845430	171
252	140	0	#fc8c00	172
88	104	4	#586804	173
112	92	44	#705c2c	174
172	64	116	#ac4074	175
236	92	76	#ec5c4c	176
116	148	0	#749400	177
8	224	244	#08e0f4	178
236	20	108	#ec146c	179
244	255	152	#f4ff98	180
188	84	0	#bc5400	181
64	204	96	#40cc60	182
196	148	208	#c494d0	183
84	160	140	#54a08c	184
216	200	252	#d8c8fc	185
144	172	0	#90ac00	186
136	108	36	#886c24	187
160	116	56	#a07438	188
92	92	140	#5c5c8c	189
180	168	255	#b4a8ff	190
212	224	168	#d4e0a8	191
4	255	76	#04ff4c	192
176	104	84	#b06854	193
255	60	108	#ff3c6c	194
204	96	255	#cc60ff	195
220	184	100	#dcb864	196
192	124	64	#c07c40	197
0	208	184	#00d0b8	198
128	116	212	#8074d4	199
255	24	60	#ff183c	200
160	104	140	#a0688c	201
184	228	144	#b8e490	202
204	255	124	#ccff7c	203
240	216	164	#f0d8a4	204
32	168	196	#20a8c4	205
236	20	164	#ec14a4	206
80	112	160	#5070a0	207
40	148	164	#2894a4	208
64	164	112	#40a470	209
152	96	32	#986020	210
232	192	144	#e8c090	211
236	128	116	#ec8074	212
0	136	20	#008814	213
96	255	232	#60ffe8	214
108	136	52	#6c8834	215
144	120	184	#9078b8	216
232	156	168	#e89ca8	217
132	236	156	#84ec9c	218
176	52	168	#b034a8	219
228	112	64	#e47040	220
124	52	208	#7c34d0	221
108	200	208	#6cc8d0	222
224	100	224	#e064e0	223
176	84	84	#b05454	224
88	136	96	#588860	225
216	76	44	#d84c2c	226
204	148	92	#cc945c	227
136	192	156	#88c09c	228
164	76	208	#a44cd0	229
96	80	216	#6050d8	230
148	72	60	#94483c	231
252	156	136	#fc9c88	232
104	168	44	#68a82c	233
216	84	152	#d85498	234
216	92	96	#d85c60	235
255	188	120	#ffbc78	236
132	140	208	#848cd0	237
64	152	255	#4098ff	238
220	136	228	#dc88e4	239
28	124	92	#1c7c5c	240
136	164	112	#88a470	241
184	160	80	#b8a050	242
76	136	64	#4c8840	243
184	120	88	#b87858	244
96	160	200	#60a0c8	245
192	136	12	#c0880c	246
188	204	128	#bccc80	247
156	252	255	#9cfcff	248
64	200	252	#40c8fc	249
160	104	176	#a068b0	250
255	168	224	#ffa8e0	251
255	216	104	#ffd868	252
4	92	196	#045cc4	253
68	164	68	#44a444	254
160	204	255	#a0ccff	255
180	84	56	#b45438	256
192	60	148	#c03c94	257
132	236	88	#84ec58	258
196	200	92	#c4c85c	259
212	255	208	#d4ffd0	260
252	176	132	#fcb084	261
68	104	56	#446838	262
164	24	255	#a418ff	263
204	108	176	#cc6cb0	264
184	152	108	#b8986c	265
108	116	48	#6c7430	266
76	136	176	#4c88b0	267
220	152	32	#dc9820	268
164	92	104	#a45c68	269
204	144	184	#cc90b8	270
88	128	200	#5880c8	271
128	128	76	#80804c	272
156	92	255	#9c5cff	273
32	224	148	#20e094	274
156	204	136	#9ccc88	275
84	220	255	#54dcff	276
88	184	136	#58b888	277
16	108	68	#106c44	278
152	104	0	#986800	279
0	232	220	#00e8dc	280
124	96	196	#7c60c4	281
248	188	84	#f8bc54	282
180	160	212	#b4a0d4	283
152	68	92	#98445c	284
124	255	212	#7cffd4	285
116	184	224	#74b8e0	286
116	156	252	#749cfc	287
248	4	208	#f804d0	288
184	120	20	#b87814	289
255	108	216	#ff6cd8	290
255	128	68	#ff8044	291
220	124	40	#dc7c28	292
180	116	224	#b474e0	293
0	128	56	#008038	294
136	96	136	#886088	295
144	120	72	#907848	296
136	60	172	#883cac	297
228	136	104	#e48868	298
236	248	96	#ecf860	299
232	132	140	#e8848c	300
255	84	48	#ff5430	301
248	166	176	#f8a6b0	302
220	176	24	#dcb018	303
196	24	220	#c418dc	304
188	216	36	#bcd824	305
0	152	136	#009888	306
208	28	88	#d01c58	307
36	136	140	#24888c	308
100	108	160	#646ca0	309
188	255	224	#bcffe0	310
188	120	132	#bc7884	311
220	84	124	#dc547c	312
244	160	60	#f4a03c	313
92	188	64	#5cbc40	314
160	152	68	#a09844	315
224	228	144	#e0e490	316
116	220	200	#74dcc8	317
64	108	0	#406c00	318
188	184	128	#bcb880	319
156	196	28	#9cc41c	320
116	228	176	#74e4b0	321
100	116	220	#6474dc	322
100	96	44	#64602c	323
200	180	80	#c8b450	324
164	132	88	#a48458	325
248	188	224	#f8bce0	326
96	116	68	#607444	327
208	80	184	#d050b8	328
168	92	48	#a85c30	329
212	80	12	#d4500c	330
132	132	4	#848404	331
172	172	44	#acac2c	332
224	184	236	#e0b8ec	333
80	132	0	#508400	334
84	84	176	#5454b0	335
184	84	136	#b85488	336
116	112	16	#747010	337
172	160	108	#aca06c	338
136	160	212	#88a0d4	339
168	124	180	#a87cb4	340
212	48	60	#d4303c	341
188	180	232	#bcb4e8	342
188	255	180	#bcffb4	343
176	48	12	#b0300c	344
112	84	152	#705498	345
0	172	255	#00acff	346
124	88	30	#7c581e	347
156	172	104	#9cac68	348
92	152	116	#5c9874	349
160	72	144	#a04890	350
192	152	244	#c098f4	351
196	136	112	#c48870	352
255	228	148	#ffe494	353
224	156	184	#e09cb8	354
224	156	255	#e09cff	355
220	44	228	#dc2ce4	356
208	116	112	#d07470	357
156	128	56	#9c8038	358
244	252	196	#f4fcc4	359
140	184	132	#8cb884	360
36	108	44	#246c2c	361
116	200	228	#74c8e4	362
100	188	184	#64bcb8	363
172	68	0	#ac4400	364
0	136	84	#008854	365
48	92	255	#305cff	366
172	228	104	#ace468	367
44	200	124	#2cc87c	368
0	120	255	#0078ff	369
228	156	224	#e49ce0	370
132	96	156	#84609c	371
128	128	240	#8080f0	372
196	68	116	#c44474	373
200	188	0	#c8bc00	374
244	140	64	#f48c40	375
104	176	148	#68b094	376
108	204	164	#6ccca4	377
204	148	112	#cc9470	378
120	212	48	#78d430	379
152	164	64	#98a440	380
172	84	180	#ac54b4	381
172	64	80	#ac4050	382
228	160	152	#e4a098	383
255	124	184	#ff7cb8	384
124	148	88	#7c9458	385
224	212	96	#e0d460	386
136	132	184	#8884b8	387
228	156	104	#e49c68	388
140	128	56	#8c8038	389
60	120	172	#3c78ac	390
228	32	0	#e42000	391
164	176	240	#a4b0f0	392
232	136	168	#e888a8	393
208	100	72	#d06448	394
255	48	164	#ff30a4	395
68	148	92	#44945c	396
184	136	216	#b888d8	397
148	56	148	#943894	398
108	255	144	#6cff90	399
0	116	108	#00746c	400
104	152	56	#689838	401
156	92	84	#9c5c54	402
208	116	144	#d07490	403
248	92	132	#f85c84	404
136	80	188	#8850bc	405
96	180	208	#60b4d0	406
160	140	255	#a08cff	407
212	192	136	#d4c088	408
244	12	136	#f40c88	409
172	244	68	#acf444	410
154	120	68	#9a7844	411
252	64	88	#fc4058	412
168	104	124	#a8687c	413
200	160	88	#c8a058	414
204	116	64	#cc7440	415
168	64	64	#a84040	416
224	144	64	#e09040	417
120	200	116	#78c874	418
255	240	76	#fff04c	419
92	244	255	#5cf4ff	420
68	136	240	#4488f0	421
80	224	88	#50e058	422
160	120	84	#a07854	423
228	64	56	#e44038	424
0	192	208	#00c0d0	425
255	136	236	#ff88ec	426
64	132	108	#40846c	427
255	216	168	#ffd8a8	428
156	84	128	#9c5480	429
124	168	216	#7ca8d8	430
188	104	152	#bc6898	431
152	92	152	#985c98	432
228	204	116	#e4cc74	433
56	72	255	#3848ff	434
232	168	0	#e8a800	435
180	120	104	#b47868	436
64	192	160	#40c0a0	437
76	168	164	#4ca8a4	438
104	80	255	#6850ff	439
255	92	176	#ff5cb0	440
8	152	36	#089824	441
196	104	92	#c4685c	442
120	244	236	#78f4ec	443
216	76	100	#d84c64	444
156	228	172	#9ce4ac	445
72	236	0	#48ec00	446
132	100	228	#8464e4	447
228	220	164	#e4dca4	448
196	32	104	#c42068	449
180	116	144	#b47490	450
255	108	96	#ff6c60	451
176	92	232	#b05ce8	452
192	100	116	#c06474	453
188	104	44	#bc682c	454
144	72	108	#90486c	455
255	104	28	#ff681c	456
200	116	16	#c87410	457
160	108	84	#a06c54	458
96	168	104	#60a868	459
208	128	192	#d080c0	460
116	140	228	#748ce4	461
120	116	164	#7874a4	462
200	252	156	#c8fc9c	463
252	208	40	#fcd028	464
224	116	255	#e074ff	465
255	68	224	#ff44e0	466
132	188	84	#84bc54	467
232	112	188	#e870bc	468
52	140	132	#348c84	469
172	148	92	#ac945c	470
124	196	255	#7cc4ff	471
192	28	128	#c01c80	472
172	84	116	#ac5474	473
104	92	168	#685ca8	474
180	152	4	#b49804	475
180	140	184	#b48cb8	476
60	100	144	#3c6490	477
116	152	108	#74986c	478
236	176	152	#ecb098	479
152	204	76	#98cc4c	480
184	208	156	#b8d09c	481
56	124	40	#387c28	482
204	148	68	#cc9444	483
188	68	56	#bc4438	484
148	184	112	#94b870	485
152	120	216	#9878d8	486
104	220	124	#68dc7c	487
252	184	252	#fcb8fc	488
0	196	16	#00c410	489
0	188	68	#00bc44	490
224	144	128	#e09080	491
255	144	164	#ff90a4	492
124	76	140	#7c4c8c	493
255	100	156	#ff649c	494
28	156	208	#1c9cd0	495
255	248	164	#fff8a4	496
204	124	164	#cc7ca4	497
176	108	255	#b06cff	498
212	236	0	#d4ec00	499
160	200	156	#a0c89c	500
156	152	232	#9c98e8	501
88	204	192	#58ccc0	502
136	176	56	#88b038	503
140	96	180	#8c60b4	504
68	188	255	#44bcff	505
36	228	232	#24e4e8	506
216	240	152	#d8f098	507
68	112	255	#4470ff	508
168	92	24	#a85c18	509
224	228	108	#e0e46c	510
208	168	116	#d0a874	511
